Detector,VCASB,efficiency,efficiency_errorup,efficiency_errorlow,residualsX,residualsX_error,residualsY,residualsY_error,spatialres,spatialres_error,clustersize,clustersize_error
bb0,82,0.9894534995206136,0.0018199656136068665,0.0021601881246792187,6.167843158509653,0.09160681466544851,6.192760424330934,0.09109891902566192,5.695270201613457,0.07009797495613869,1.2164082687338502,0.00993975131354534
bb0,70,0.9659574468085106,0.00328615294144452,0.003606378356378559,6.457177341660962,0.09905746734272247,6.436818475752574,0.09447710710370716,5.98362476803281,0.07374343079313864,1.1552016265672653,0.008279192921057665
bb0,97,0.9993444772205834,0.00042339583172545936,0.000863931509511362,6.026358641561353,0.09011907802661456,6.043944665431975,0.09381494955468339,5.537421869136315,0.07088931263839689,1.3532305673991472,0.011533259076127202
bb0,85,0.9928338762214983,0.0015127535389337643,0.001868173260340611,5.991314836136059,0.09005442037766986,6.1979312972906735,0.09358174681386267,5.60200596133221,0.07064377801583277,1.2358923884514437,0.009958813042892992
bb0,73,0.9719046063377981,0.0029896054534447325,0.0033147685462575627,6.313567173542874,0.09384092950266787,6.222785313702989,0.09241257420262583,5.7904817984402746,0.07128454148819181,1.1647058823529413,0.008076284254751955
bb0,91,0.9977124183006536,0.0008432443364297937,0.001229949409157216,5.834813928703988,0.08624939102413398,6.0619163560766856,0.09023511506509241,5.4424754878763055,0.06820879723626262,1.2990501146413365,0.010784034666381432
bb0,67,0.9559456773766147,0.003744175696310914,0.00405957709262228,6.245754593166044,0.09365274046640248,6.316886971844888,0.09343573119361714,5.804720021269723,0.07157741135030883,1.1496881496881497,0.007972028883093087
bb0,100,0.9996781461216607,0.00026625395029600263,0.0007397186294456626,5.875334200083241,0.0931084319641644,5.731393940303209,0.08782791812187041,5.28374542003231,0.07028406166599185,1.4027688345138443,0.012154209912327895
bb0,76,0.9797186784429179,0.0025487869142195585,0.0028827463377258944,6.345470752648692,0.09697404238427332,6.1906873323614,0.0855989375772448,5.79031827452263,0.0699946314755098,1.18330550918197,0.009170521169931644
bb0,94,0.9990313206328705,0.0005271439986413995,0.0009413619458386036,6.029212456284758,0.09065491977493023,5.979079408750114,0.08089437572211766,5.50360326428428,0.06626933565061194,1.3141564318034906,0.011217816232153273
bb1,94,0.991652754590985,0.001511210882897851,0.001809897006985084,5.956113268056973,0.07689485498219062,6.1140984505979965,0.08002518302204287,5.537267402605249,0.06047620317778549,1.2382154882154883,0.009509901561790303
bb1,76,0.9653066888703858,0.0030538811342505356,0.0033238999023130766,6.004560250303271,0.07628039859939273,6.0063338626013145,0.07726093458822092,5.505033532902363,0.05922081637074757,1.1503737780333525,0.007388546277209991
bb1,67,0.9513513513513514,0.0036384111632999927,0.0039052607063886358,6.14117428903274,0.08585710504359634,6.104881334585299,0.07934637364741315,5.63306398053635,0.06353532299605258,1.1330741626794258,0.007049948896977018
bb1,85,0.9817663817663818,0.002257274798442621,0.0025490868961000057,6.2112060371197675,0.07816942586029452,5.983888620293567,0.07889692391822889,5.605150672458122,0.06041708541245471,1.1877539175856064,0.008307404496365614
bb1,91,0.9887829500841279,0.001759078716370377,0.0020550091081383837,5.717100728080302,0.06957133346794109,6.112781773105174,0.08290013389662665,5.405442042750866,0.05916184160123132,1.2288712422007941,0.009356042538161973
bb1,73,0.960079275198188,0.0033010678769075374,0.0035727543479140422,6.260464101936546,0.08419507744103782,6.123341365160537,0.08003700056842078,5.707786633693888,0.06300534796400652,1.1383072839870245,0.0070783807384196895
bb1,97,0.9966433566433567,0.0009545070127437993,0.0012725189271178827,6.051753496544462,0.08053665120412301,5.936426161131686,0.0789390416637259,5.492583904918417,0.06153351613137197,1.2699971933763683,0.009568334024251033
bb1,70,0.953954802259887,0.00353142338477741,0.0037981474736638043,6.0525499861665635,0.07815712182885237,6.269789510824775,0.0829700102775619,5.674319453786942,0.061875049532973944,1.1258513473497187,0.006801200777503849
bb1,82,0.9784856105057279,0.0024256605248952345,0.002708430394967931,5.977423514401876,0.07742484011145123,6.198142281086437,0.08203836410808751,5.594538262708662,0.06136797390202225,1.1724728726442033,0.007456255131461662
bb1,100,0.99800796812749,0.0007343413279802258,0.0010712870036855282,5.539678999864834,0.07306535429561478,5.7813941259041455,0.0782941228711902,5.126253093356418,0.05911510308712632,1.2974051896207586,0.010641665631844065
bb1,88,0.9884583676834295,0.0017664445342086,0.00205573455505359,5.883506578982294,0.07160879002781995,6.173096096292967,0.0778975023255506,5.529598974479876,0.0576627013841305,1.2043369474562136,0.008213343795277857
bb1,79,0.9726745790781121,0.002711106790820317,0.002985309842372774,6.109947749626999,0.07674829464507926,6.2096902383622155,0.0813596607400826,5.672999635430444,0.060718123327203485,1.1625993189557322,0.007687090713298177
